,3x2ptFoM Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median WeakLensingNvisits gri band non-DD HealpixSlicer,Total detected SNNSNMetric_reducen_sn DDF excluded HealpixSlicer,Total detected SNSLMetric HealpixSlicer,Total detected KNePopMetric_all_multi_color_detect all models UserPointsSlicer,Effective Area (deg) Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,fONv MedianNvis fO HealpixSlicer,Median Median Inter-Night Gap WFD all bands HealpixSubsetSlicer,Median Median Inter-Night Gap WFD r band HealpixSubsetSlicer,Mean Median Season Length WFD all bands HealpixSubsetSlicer,Median Exgalm5WithCuts i band non-DD year 10 HealpixSlicer,Median Median Inter-Night Gap WFD u band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD g band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD i band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD z band HealpixSubsetSlicer,Median Median Inter-Night Gap WFD y band HealpixSubsetSlicer
all_long_v3.4_10yrs,41.29278168274334,432.0,135365.84615599999,10.265238692551465,21204.0,17635.23807317704,813.0,2.9037056085071526,6.0380447569914395,171.54823658012802,26.352422198672606,25.442014624703006,16.132256970704475,6.954861784972309,7.941016339427733,14.448127185140038
baseline_v2.0_10yrs,37.91623849193084,443.0,99302.53222000001,8.119046278737446,16067.0,16712.854357089967,839.0,3.0006837545734015,5.971442443180422,175.2175932535198,26.183533996253193,26.070302304367942,20.365116445096646,7.065387149617891,8.007021184625046,13.945915585409239
baseline_v2.1_10yrs,38.57845926225649,443.0,99294.33989900001,7.751495929902093,16936.0,16848.819927614175,838.0,3.024631684336782,5.952913556455314,172.8466913209366,26.225116570044978,26.02671285307406,20.44189044959785,7.046275755510578,7.981944192697483,14.873708237430037
baseline_v2.2_10yrs,39.81766284667878,440.0,112802.09964,8.978276006630342,18203.0,17245.80582179906,830.0,2.9814496624312596,5.978154377724422,176.0531784556303,26.259397374742242,23.890312432920837,20.88775774140231,6.993343886071671,7.115310280740232,12.949610051286072
baseline_v3.0_10yrs,38.66164586755707,423.0,109475.798536,9.448832057597475,16862.0,16902.53472090769,795.0,2.9508201158496377,5.98349965728994,179.3537445324348,26.217773751862733,23.91174174558546,21.045049118714815,6.99411819686793,6.994049710654508,12.863992107071681
baseline_v3.2_10yrs,39.22123483816717,428.0,123176.659086,9.642919391875148,20791.0,17051.089696110066,805.0,2.908091385208536,6.0186789966974175,177.53485468240936,26.243426791287895,25.048319308996724,18.431362933013588,6.9729930528847035,7.999629922083841,15.030575250733818
baseline_v3.3_10yrs,41.795014683946164,430.0,152910.228661,10.33930749705235,22962.0,17775.4001119273,811.0,2.883917419851059,6.012961894979526,176.0280820268672,26.391882854979453,25.930451747179177,17.963355572395812,6.955074217599758,7.955133380746702,12.05997631696664
baseline_v3.4_10yrs,41.789689461813865,433.0,151098.44051299998,10.436160434230871,23306.0,17762.810707249137,817.0,2.886861616922033,5.968159687427033,174.69493211669706,26.397033250714287,25.836451700492034,17.933632442996895,6.925056547001077,7.902797883456515,12.465101526089711
ddf_acor_sf10_lsf15_lsr10_v3.4_10yrs,41.66298468120889,433.0,149870.72127799998,10.415735740755611,23213.0,17715.81026311731,817.0,2.8922351289675134,5.9511501602464705,175.11218196192257,26.391933561124382,25.93589383950166,17.87952575883537,6.929576498485403,7.937078402457701,12.140158174155658
ddf_acor_sf10_lsf15_lsr20_v3.4_10yrs,41.73548375167914,434.0,151141.996493,10.4503502651308,23183.0,17734.274723311955,818.0,2.8900299226952484,5.937559714337112,174.5734855130835,26.399059307675916,25.833721400558716,17.991887964424677,6.9147277799856965,7.944827796960453,11.957638292624324
