name,group,Y1 effective survey area ,median Y1 $i$-band coadded depth in effective survey area,std in Y1 $i$-band coadded depth in effective survey area,Y3 effective survey area ,median Y3 $i$-band coadded depth in effective survey area,std in Y3 $i$-band coadded depth in effective survey area,Y6 effective survey area ,median Y6 $i$-band coadded depth in effective survey area,std in Y6 $i$-band coadded depth in effective survey area,Y10 effective survey area ,median Y10 $i$-band coadded depth in effective survey area,std in Y10 $i$-band coadded depth in effective survey area
agnddf_illum10_v1.3_10yrs.db,AGN_DDF,15278.76,25.23,0.15,15305.78,25.8,0.14,15257.73,26.15,0.13,15280.29,26.44,0.13
agnddf_illum15_v1.3_10yrs.db,AGN_DDF,15253.27,25.22,0.15,15273.94,25.8,0.14,15248.34,26.15,0.13,15281.49,26.44,0.13
agnddf_illum30_v1.3_10yrs.db,AGN_DDF,15214.51,25.21,0.15,15234.6,25.79,0.14,15221.64,26.14,0.13,15246.29,26.43,0.13
agnddf_illum60_v1.3_10yrs.db,AGN_DDF,15248.86,25.23,0.15,15269.32,25.79,0.14,15226.15,26.14,0.13,15254.74,26.43,0.13
dcr_nham1_v1.3_10yrs.db,DCR,15038.25,25.16,0.15,15138.55,25.75,0.13,15054.31,26.09,0.12,15086.36,26.37,0.12
dcr_nham2_v1.3_10yrs.db,DCR,14939.95,25.12,0.15,15076.18,25.72,0.12,14973.68,26.07,0.12,15011.5,26.35,0.12
dcr_nham3_v1.3_10yrs.db,DCR,13527.0,25.07,0.16,14943.68,25.69,0.12,14845.37,26.04,0.11,14900.08,26.33,0.12
descddf_illum3_v1.3_10yrs.db,DESC_DDF,8851.03,25.26,0.14,14276.33,25.82,0.13,15272.05,26.16,0.12,15336.78,26.46,0.12
descddf_illum4_v1.3_10yrs.db,DESC_DDF,12311.91,25.25,0.14,14818.2,25.81,0.13,15310.87,26.16,0.12,15336.26,26.45,0.12
descddf_illum5_v1.3_10yrs.db,DESC_DDF,13086.53,25.25,0.15,15300.27,25.82,0.13,15283.59,26.16,0.12,15299.01,26.44,0.12
descddf_illum7_v1.3_10yrs.db,DESC_DDF,15063.22,25.24,0.15,15285.95,25.8,0.13,15259.46,26.15,0.12,15281.91,26.44,0.12
descddf_illum10_v1.3_10yrs.db,DESC_DDF,15220.22,25.23,0.15,15267.38,25.8,0.13,15226.99,26.14,0.12,15260.98,26.43,0.12
