name,Y1 effective survey area ,median Y1 $i$-band coadded depth in effective survey area,std in Y1 $i$-band coadded depth in effective survey area,Y3 effective survey area ,median Y3 $i$-band coadded depth in effective survey area,std in Y3 $i$-band coadded depth in effective survey area,Y6 effective survey area ,median Y6 $i$-band coadded depth in effective survey area,std in Y6 $i$-band coadded depth in effective survey area,Y10 effective survey area ,median Y10 $i$-band coadded depth in effective survey area,std in Y10 $i$-band coadded depth in effective survey area
agnddf_v1.4_10yrs.db,14737.94,25.11,0.15,14942.84,25.71,0.13,14783.06,26.05,0.13,14666.66,26.32,0.12
alt_roll_mod2_dust_sdf_0.20_v1.4_10yrs.db,15353.15,25.02,0.14,14404.06,25.57,0.16,13888.84,25.95,0.13,14217.74,26.21,0.11
baseline_2snapsv1.4_10yrs.db,14255.87,25.05,0.14,14624.27,25.65,0.12,14302.25,26.0,0.11,14152.12,26.26,0.1
baseline_v1.4_10yrs.db,14677.83,25.09,0.15,14877.42,25.7,0.13,14565.63,26.03,0.12,14395.51,26.3,0.12
bulges_bs_v1.4_10yrs.db,15442.74,25.01,0.14,16086.69,25.63,0.13,15577.03,25.97,0.11,15280.39,26.24,0.11
bulges_bulge_wfd_v1.4_10yrs.db,15732.98,25.01,0.14,16144.13,25.62,0.12,15457.17,25.97,0.11,15147.05,26.24,0.11
bulges_cadence_bs_v1.4_10yrs.db,15368.62,25.01,0.14,16153.26,25.62,0.12,15599.58,25.97,0.11,15319.05,26.24,0.1
bulges_cadence_bulge_wfd_v1.4_10yrs.db,15526.88,25.01,0.14,16115.54,25.62,0.12,15539.99,25.96,0.11,15198.98,26.23,0.1
bulges_cadence_i_heavy_v1.4_10yrs.db,15420.87,25.01,0.14,15989.33,25.62,0.12,15404.76,25.96,0.11,15121.87,26.23,0.11
bulges_i_heavy_v1.4_10yrs.db,15447.46,25.01,0.14,16096.87,25.62,0.12,15445.73,25.96,0.11,15148.73,26.23,0.11
dcr_nham1_v1.4_10yrs.db,14596.58,25.08,0.14,14875.8,25.7,0.13,14674.21,26.04,0.12,14555.66,26.3,0.12
dcr_nham2_v1.4_10yrs.db,14457.46,25.08,0.15,14926.37,25.71,0.13,14722.68,26.05,0.12,14600.77,26.31,0.12
dcr_nham3_v1.4_10yrs.db,14664.77,25.07,0.14,14924.06,25.71,0.13,14748.8,26.05,0.12,14635.39,26.31,0.12
